ID;1.1 Ballon;1.2 Wüste;1.3 Strand;2.1 Giraffe;2.2 Hund;2.3 Katze;3.1 Mercedes;3.2 Lambo;3.3 Beetle;4.1 Kuchen;4.2 Bowl;4.3 Burger;Geschlecht;Alter;Beruf;Nach_Fr_01;Nach_Fr_02;Nach_Fr_03;Nach_Fr_04;BE02_01;BE02_02;BE02_03;BE03_01;BE03_02;BE03_03;BE05_01;BE05_02;BE05_03;BE07_01;BE07_02;BE07_03;BE08_01;BE08_02;BE08_03;BE09_01;BE09_02;BE09_03;BE16_01;BE16_02;BE16_03;BE17_01;BE17_02;BE17_03;BE18_01;BE18_02;BE18_03;BE19_01;BE19_02;BE19_03;BE20_01;BE20_02;BE20_03;BE21_01;BE21_02;BE21_03;BE04_01;BE04_02;BE04_03;BE10_01;BE10_02;BE10_03;BE11_01;BE11_02;BE11_03;BE12_01;BE12_02;BE12_03;BE14_01;BE14_02;BE14_03;BE15_01;BE15_02;BE15_03;BE23_01;BE23_02;BE23_03;BE24_01;BE24_02;BE24_03;BE22_01;BE22_02;BE22_03;;BE25_01;BE25_02;BE25_03;BE25_07;BE25_05;BE25_04;BE25_06
288;1;1;3;1;2;3;1;2;2;1;2;1;2;52;4;1;1;3;4;3;4;1;3;4;3;1;1;1;1;2;1;1;1;1;1;1;1;4;4;3;4;4;4;4;4;4;3;4;2;4;4;3;1;2;2;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;4;1;1;1;1;2;4;1;;5;4;5;5;5;5;5
291;3;1;1;2;2;3;1;1;2;2;2;1;1;56;4;2;2;4;5;3;2;2;3;2;2;2;2;1;3;3;2;2;2;1;3;2;1;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;2;2;4;4;4;2;2;2;3;3;3;4;4;4;4;4;4;2;2;2;3;3;2;2;2;2;3;2;2;;4;2;3;3;5;5;4
293;1;1;2;1;3;1;2;2;1;1;3;1;2;24;7;3;3;4;5;3;3;2;5;4;5;3;4;2;5;4;2;2;2;2;2;3;1;4;5;5;5;4;4;2;2;1;1;1;2;2;2;2;1;1;1;2;3;3;1;3;3;3;3;3;;3;2;4;3;;;3;3;2;4;1;2;1;1;4;2;2;;5;4;4;5;5;4;3
294;2;1;2;1;1;2;1;2;3;2;2;2;2;25;4;3;4;4;5;5;5;2;5;5;2;5;5;2;5;5;2;5;5;2;5;5;2;5;5;2;5;5;2;5;5;2;5;5;1;5;5;1;5;5;1;5;5;2;5;5;2;5;5;2;5;5;2;5;5;2;5;5;1;5;5;2;5;5;1;5;5;1;;5;5;4;5;5;5;4
296;2;3;3;1;2;1;1;2;2;1;3;3;2;66;6;5;4;4;3;1;1;2;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;4;4;4;4;4;4;4;4;4;3;3;3;3;3;3;2;2;2;3;3;3;3;3;3;2;2;2;2;2;2;3;3;3;2;2;2;4;4;4;3;3;4;4;4;4;;2;4;5;5;4;4;4
299;3;3;3;1;2;1;3;2;2;3;2;1;2;27;4;3;4;5;4;4;2;2;4;2;2;2;2;2;4;2;2;3;2;2;2;2;2;4;2;2;3;4;4;3;4;4;4;2;2;4;2;2;4;2;2;4;2;2;4;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;3;3;2;2;2;2;2;2;;5;5;4;4;4;4;4
302;2;1;3;1;1;1;1;3;1;1;1;1;1;25;4;1;3;5;5;4;4;2;5;5;4;4;5;3;5;5;3;5;4;3;5;4;2;5;4;4;4;4;4;4;4;4;2;2;2;2;4;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;2;2;2;;4;5;4;5;5;4;5
303;2;1;3;1;1;1;1;1;2;3;1;1;2;25;3;3;3;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;;2;;1;1;4;1;1
310;2;3;2;3;3;1;1;1;2;2;2;3;2;24;4;3;4;5;5;4;4;4;4;4;4;5;5;5;4;4;4;4;4;4;4;4;4;5;5;5;5;5;5;5;5;5;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;;5;4;3;4;4;4;4
318;2;1;3;2;2;2;2;1;1;3;3;1;2;54;4;2;2;5;4;4;4;4;4;4;4;2;4;2;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;2;2;2;2;2;2;2;2;2;4;2;2;4;2;1;1;1;1;2;3;2;1;3;1;4;2;1;4;4;2;2;4;2;4;2;2;;5;4;5;5;5;5;5
